Tematica,fecha_mensual,Cantidad
HOMICIDIOS,01/05/2023,1131.00
HOMICIDIOS,01/06/2023,1155.00
HOMICIDIOS,01/07/2023,1234.00
HOMICIDIOS,01/08/2023,1174.00
HOMICIDIOS,01/09/2023,1152.00
HOMICIDIOS,01/10/2023,1068.00
HOMICIDIOS,01/11/2023,1138.00
HOMICIDIOS,01/12/2023,1288.00
HOMICIDIOS,01/01/2024,1127.00
HOMICIDIOS,01/02/2024,1009.00
HOMICIDIOS,01/03/2024,1038.00
HOMICIDIOS,01/04/2024,1057.00
HOMICIDIOS,01/05/2024,1125.00
HOMICIDIOS,01/06/2024,1086.00
HOMICIDIOS,01/07/2024,1086.00
HOMICIDIOS,01/08/2024,1227.00
HOMICIDIOS,01/09/2024,1145.00
HOMICIDIOS,01/10/2024,1135.00
HOMICIDIOS,01/11/2024,1216.00
HOMICIDIOS,01/12/2024,1245.00
HOMICIDIOS,01/01/2025,1216.00
HOMICIDIOS,01/02/2025,947.00
HOMICIDIOS,01/03/2025,1182.00
HOMICIDIOS,01/04/2025,1081.00
HOMICIDIOS,01/05/2025,1211.00
HOMICIDIOS,01/06/2025,1195.00
HOMICIDIOS,01/07/2025,1180.00
HOMICIDIOS,01/08/2025,1244.00
HOMICIDIOS,01/09/2025,1213.00
HOMICIDIOS,01/10/2025,1111.00
HOMICIDIOS,01/11/2025,1194.00
HOMICIDIOS,01/12/2025,1263.00
HURTO A PERSONAS,01/01/2005,3151.00
HURTO A PERSONAS,01/02/2005,3375.00
HURTO A PERSONAS,01/03/2005,3186.00
HURTO A PERSONAS,01/04/2005,3011.00
HURTO A PERSONAS,01/05/2005,2917.00
HURTO A PERSONAS,01/06/2005,2963.00
HURTO A PERSONAS,01/07/2005,3553.00
HURTO A PERSONAS,01/08/2005,3954.00
HURTO A PERSONAS,01/09/2005,4029.00
HURTO A PERSONAS,01/10/2005,3702.00
HURTO A PERSONAS,01/11/2005,3621.00
HURTO A PERSONAS,01/12/2005,3861.00
HURTO A PERSONAS,01/01/2006,4032.00
HURTO A PERSONAS,01/02/2006,4208.00
HURTO A PERSONAS,01/03/2006,4602.00
HURTO A PERSONAS,01/04/2006,4448.00
HURTO A PERSONAS,01/05/2006,4514.00
HURTO A PERSONAS,01/06/2006,4516.00
HURTO A PERSONAS,01/07/2006,4308.00
HURTO A PERSONAS,01/08/2006,4715.00
HURTO A PERSONAS,01/09/2006,5072.00
HURTO A PERSONAS,01/10/2006,5006.00
HURTO A PERSONAS,01/11/2006,4824.00
HURTO A PERSONAS,01/12/2006,4532.00
HURTO A PERSONAS,01/01/2007,5229.00
HURTO A PERSONAS,01/02/2007,4986.00
HURTO A PERSONAS,01/03/2007,4871.00
HURTO A PERSONAS,01/04/2007,3966.00
HURTO A PERSONAS,01/05/2007,4188.00
HURTO A PERSONAS,01/06/2007,3999.00
HURTO A PERSONAS,01/07/2007,4003.00
HURTO A PERSONAS,01/08/2007,4142.00
HURTO A PERSONAS,01/09/2007,4007.00
HURTO A PERSONAS,01/10/2007,4268.00
HURTO A PERSONAS,01/11/2007,3859.00
HURTO A PERSONAS,01/12/2007,3573.00
HURTO A PERSONAS,01/01/2008,5562.00
HURTO A PERSONAS,01/02/2008,5792.00
HURTO A PERSONAS,01/03/2008,6122.00
HURTO A PERSONAS,01/04/2008,6186.00
HURTO A PERSONAS,01/05/2008,5831.00
HURTO A PERSONAS,01/06/2008,5545.00
HURTO A PERSONAS,01/07/2008,5776.00
HURTO A PERSONAS,01/08/2008,5675.00
HURTO A PERSONAS,01/09/2008,5235.00
HURTO A PERSONAS,01/10/2008,5231.00
HURTO A PERSONAS,01/11/2008,5230.00
HURTO A PERSONAS,01/12/2008,4345.00
HURTO A PERSONAS,01/01/2009,5867.00
HURTO A PERSONAS,01/02/2009,5328.00
HURTO A PERSONAS,01/03/2009,5680.00
HURTO A PERSONAS,01/04/2009,5001.00
HURTO A PERSONAS,01/05/2009,5281.00
HURTO A PERSONAS,01/06/2009,4679.00
HURTO A PERSONAS,01/07/2009,5029.00
HURTO A PERSONAS,01/08/2009,5048.00
HURTO A PERSONAS,01/09/2009,5021.00
HURTO A PERSONAS,01/10/2009,5126.00
HURTO A PERSONAS,01/11/2009,4666.00
HURTO A PERSONAS,01/12/2009,4346.00
HURTO A PERSONAS,01/01/2010,5345.00
HURTO A PERSONAS,01/02/2010,5295.00
HURTO A PERSONAS,01/03/2010,5205.00
HURTO A PERSONAS,01/04/2010,5119.00
HURTO A PERSONAS,01/05/2010,5262.00
HURTO A PERSONAS,01/06/2010,5133.00
HURTO A PERSONAS,01/07/2010,5332.00
HURTO A PERSONAS,01/08/2010,5111.00
HURTO A PERSONAS,01/09/2010,5214.00
HURTO A PERSONAS,01/10/2010,5209.00
HURTO A PERSONAS,01/11/2010,4670.00
HURTO A PERSONAS,01/12/2010,4547.00
HURTO A PERSONAS,01/01/2011,5794.00
HURTO A PERSONAS,01/02/2011,5765.00
HURTO A PERSONAS,01/03/2011,6208.00
HURTO A PERSONAS,01/04/2011,5517.00
HURTO A PERSONAS,01/05/2011,6081.00
HURTO A PERSONAS,01/06/2011,5691.00
HURTO A PERSONAS,01/07/2011,5592.00
HURTO A PERSONAS,01/08/2011,5779.00
HURTO A PERSONAS,01/09/2011,5619.00
HURTO A PERSONAS,01/10/2011,5577.00
HURTO A PERSONAS,01/11/2011,5297.00
HURTO A PERSONAS,01/12/2011,4946.00
HURTO A PERSONAS,01/01/2012,7461.00
HURTO A PERSONAS,01/02/2012,7469.00
HURTO A PERSONAS,01/03/2012,7731.00
HURTO A PERSONAS,01/04/2012,7549.00
HURTO A PERSONAS,01/05/2012,7982.00
HURTO A PERSONAS,01/06/2012,6944.00
HURTO A PERSONAS,01/07/2012,7249.00
HURTO A PERSONAS,01/08/2012,7240.00
HURTO A PERSONAS,01/09/2012,6299.00
HURTO A PERSONAS,01/10/2012,5678.00
HURTO A PERSONAS,01/11/2012,5024.00
HURTO A PERSONAS,01/12/2012,6030.00
HURTO A PERSONAS,01/01/2013,8366.00
HURTO A PERSONAS,01/02/2013,7608.00
HURTO A PERSONAS,01/03/2013,8071.00
HURTO A PERSONAS,01/04/2013,8208.00
HURTO A PERSONAS,01/05/2013,8255.00
HURTO A PERSONAS,01/06/2013,7909.00
HURTO A PERSONAS,01/07/2013,8181.00
HURTO A PERSONAS,01/08/2013,7867.00
HURTO A PERSONAS,01/09/2013,7844.00
HURTO A PERSONAS,01/10/2013,8217.00
HURTO A PERSONAS,01/11/2013,6953.00
HURTO A PERSONAS,01/12/2013,5976.00
HURTO A PERSONAS,01/01/2014,8283.00
